2024110617251.txt,"appreciation,unprecedented,powerful,greatest,overcame,","furious,obstacles,concession,concede,",-0.2
2024110623411.txt,"independent, great, progressive, champion, strong, freedom, opportunity, fairness, dignity, ideals, heart, best","disastrous, scathing, disastrous, abandoned, abandoned, defends, angry, instability, inequality, lack, criticized, extremist, war, disaster, malnutrition, starvation, doubt, pain, alienation, powerful, control, serious, fight, fight, breaking",-0.6
2024110621561.txt,"winner, important, peaceful, graceful, critical, victory, overcame, possible, gratitude, trust, love, promise, bright, freedom, opportunity, fairness, dignity, best, future, freedom, protect, justice, sacred, fundamental, freedoms, respected, upheld, kindness, respect, strength, lift, dignity, deserve, OK, OK, important, freedom, justice, future, build, together, victory, deep, frustrations, top, consistently, return, motivated, motivated, extremely, endorsed,","defeating, obstacles, assassination, losing, not, not, not, never, never, never, never, sad, disappointed, sad, disappointed, defeat, frustrations, unhappiness, fury, waned, hurried, dropped,",-0.1
2024110710031.txt,"determination, elation, hope, determination, qualified, bright, motivated, leadership, recognition, support, redemption, vindication","defeat, worst, bleak, worry, painful, felonies, lies, falsehoods, disparaged, brutal, anger, crushing, racism, sexism, controversy, missteps, suspicions, loss, feared, failed",-0.6
2024110622083.txt,"enhanced, functionality, personalisation, relevant, capable, enable, share, content, friends, networks",none,-0.1
2024110618451.txt,"extraordinary, honor, victory, freedom, prosperity, opportunity, congratulations","concede, radical, violent, crime, rejected",-0.1
2024110710582.txt,"agreed, close, cooperation, exceeded, responsibility, significant, gain, victory, entrusted, safeguard, freedom, landslide, win, protect, heart, anticipate, commitment, rising, liberty, prosperity, security, energy, skill, initiative, best, minds, propel, forward, excitement, promise, united, united, historic, common, beautiful, good, resurgence, unity, positive, sanity, positive, North Star","horrific, negative, down, reckoning, crazy",+0.3
2024110703105.txt,"victory,improve,advantage,led,congratulating,pride,extraordinary,remarkable,hope,solvable,great,encouraging,orderly,necessary,access,","abandoned,sharply,undo,losing,emissions,failed,expensive,failed,problems,delay,holding,limiting,condition,anonymity,sensitive,",0.0
2024110611273.txt,"successful,win,organised,reliable","suffer,dirty,defeated,hostile,worst,protest,exhausted,fatigued,burned,less safe,arrested,felony,vengeance,fear,repression,harsh,enemy,threatened,fascism,threatens,tired,worn,fear",-0.8
2024110701074.txt,"congratulations,extraordinary,opportunities,success,unite,good,wishes,decisive,victory,healthy,capacity,thank,forward,secure,critical,unified,hope,projected,expected,formally,confirmed,plans,close,ties,interest,conservative,think,foundation,concede,followers,alma mater,credited,indicate,majority,mandate,entrusted,deliver,help,make,again,let,go,congratulated,political,comeback,leading,love,good","intense,extreme,limiting,deportation,distanced,claimed,concede,narrowed,divided,critical,corruption,sued,refuted,issue,resignations,cancellation",-0.1
2024110701076.txt,"victory, exclusive, celebrate, popular, victory, ability, resilience, good, news, democracy","criminal, derail, uncharted, controversial, retribution, deportation, targets, dissidents, opponents, vitriol, hate, threats, interrupted, disruptive, evacuations, hoax, threats, non-credible",-0.3
2024110611271.txt,"historic, crucial, shattered, historic, highest, continuation, work, better-qualified, experience, service,","defeat, disillusionment, loss, defeat, sexism, racism, backlash, wrath, shock, loss, battles, fire, loss, loss, worst, sexist, racist, loss, ingrained, racism, supremacy, low, disabled, dumber,",-0.6
2024110703107.txt,"wealthy,benefit,decisive,leader,clear,agreement,ambitions,future,new,new,new,ideas,high-profile,solidarity,impact,safety,rights,succeeded,equity,justice,highlighted,advocacy,advocates,prevention","threat,fascist,loss,wrong,disaster,disaster,attacks,attacks,divide,attacks,attacks,anti,anti,rhetoric",-0.3
2024110618282.txt,"popular,skilled","disrupting,cold,anti-populist,angry,extreme,discontent,shadow,plunder,threat,threatening,steal,stealing,steals,stealth,stealthy,stole,stolen,thief,thieves,theft",-0.8
2024110620292.txt,"meaningful,good,best,successfully,perfect,plenty","break,decisively,inexplicably,rejecting,erred,refusing,disavow,afraid,slur,admonishment,blamed,mistake,tired,wrong",-0.3
2024110710033.txt,"cheerleader, allies, good, vision, multiracial, momentum, goal, ready, better, future, demand, seat, show up,","doubted, undermining, invisible, ineffective, angry, exhausted, struggled, bypassing, worried, privilege, conceded, challenge, defeat, sting, underdog, dimmed,",-0.3
2024110709562.txt,"decisive, victory, cheers, hero's, jubilant, victory, opportunity, respite, security","loss, under-performed, criticism, failure, rising, inflation, defeat, insult, subdued, fear",-0.2
2024110622081.txt,"listening, freedom, hope, obvious, great, coherent, willingness, work, embraced, elevated, deliver, sufficient, keenly, narrowed","toxic, misread, squandered, unpopular, fault, mistake, failed, danger, failed, failed, high",-0.3
2024110710032.txt,"acclaimed,advisers,confidants,progress,favoring,free,leadership,rights,democracy,work,hailed,backbone,supported,liberal,victory,victory,investing,winning,ideal,loyal,","intense,sexism,anger,undercut,derogatory,overwhelming,rebuke,struggled,despairing,despondency,disliked,",-0.3
2024110707214.txt,"securely,properly,ensure,facilitate,enable,respect","fraudulent,problems",-0.1
2024110710581.txt,"victor, opportunity, decency, opportunity, freedom, opportunity, fundamental, works, opportunity, unified, good, good, good,","loss, loss, loss, trashing, hot,",-0.1
2024110701077.txt,"advantages,formidable,important,unique,great,strides,","prohibit,illegal,oppose,dismantle,obstacles,unequal,limitations,pariah,struggled,unpopular,doomed,hovered,failed,",0.0
2024110703106.txt,"peaceful,knowledge,leaders,","disappointed,disappointment,unlike,not,anonymity,",-0.1
2024110703102.txt,"decisive, well, interesting, best, well, popular, prominent, well, positive, proud, forward-looking, proud, forward,","unfounded, inaccurate, false, aftermath, sexist, risked, disputes, domination, critics, criticized,",-0.1
2024110701073.txt,"kindness, respect, amazing, privilege, strong, health, strength, success, democratic, victory, success,","despair, dark, tears, devastating, devastating, divisive, criticized",-0.2
2024110701271.txt,"friendly, promising, leadership, rallying, star-studded, endorsement, record-setting, windfall, loyal, fine, promoting, convincing, lead, concerns,","abrupt, attack, ad, headwinds, failed, loss, despair, soul-searching, wrong, finger-pointing, questions, shock, painful, hard, anxiety, disastrous, scrutiny, anti-Biden, sentiment, wrong, trap, attack, disloyal, failed, frustrations, concerns, falling, concerned,",-0.3
20241107105812.txt,"congratulated, historic, victory, strength, professionalism, tenacity, unifying, optimism, decisive, not too bad, congratulated, great, protect, defend, responsibility, managed, survive, tough, notably","indictment, unable, concerned, narrowly, lose, worried, kicked, fight, not, challenge, fight, not, tough",-0.1
2024110622053.txt,"smile, laugh,","unfulfilled, survived, did not survive, attacking, blaming, defeat, war, adversity, concerned,",-0.3
2024110622052.txt,hopeful,"assault,evil,killing,destroying,alienated,rejected,unconditional,devastated,disregard,heckling,drag",-0.8
2024110701112.txt,"golden,decisively,win","anger,worries,defeat,snubbed",-0.3
2024110707211.txt,"favourite, beauty, gifted, success, uplifting, hope, heart, gratitude, love, inspire, freedom, power, power, positivity, calm, brilliant, brilliant, benefit, light, stars","defeat, defeat, fight, surreal, lost, redundant, contrition, wrong, dark, stinging, rebuke, angry, furious, indictment, disastrous, opposition, fight, lost, criticising, shallow, incoherent",-0.1
2024110622091.txt,"peaceful, opportunity, fairness, dignity, promise, bright, optimism, faith, truth, service, brilliant, benefit, democracy, promise, bright, meaningful, congratulations, peaceful, fundamental, principle, democracy, trust, honor, encourage, generations, barrier-breaking, possible, done, before","defeated, concede, fight, dark, dark, defiant, emotional, fight, cracking, lose, burdened, reluctant, unpopular, lost, defeated, charges, overturn, tyranny, crying, deterred, impossible",-0.1
2024110710584.txt,"affordable, safe, secure, proud, best, common sense, secure, promote, opportunity, prosperity, opportunity, liberty, security, strength, prosperity, opportunity, faith, honor, privilege, grateful, decency, compassion, love, love","misery, poverty, inflation, alienated, absurdities",+0.3
20241107105813.txt,"smiling, happy, accomplished, commend, peaceful, gratitude, first-rate, historic, mattered, hope, good, look forward","decline, difficult, hard, obstacles, unfathomably, painful, hard, hard",-0.1
2024110710341.txt,"crushing, angry, questioning, heavy, blame, difficult, low, crisis, disastrous, abandoned, angry, bad, vilified, mistake, flip, protests, mistake,",-0.8
2024110621361.txt,conceded,0.0
2024110703103.txt,"opportunities, appreciated, congratulatory, praised, tremendous, integrity, courage, character, extraordinary, historic, possible, strong, moral, vision, free, just, opportunities, welcomed, entrusted, important, safeguard, freedom, anticipate, commitment, rising, liberty, prosperity, security, tradition","problems, cataclysmic, disaffected, rejection, brash, disruptive, upheaval, alarming, overshadowed, tumultuous",-0.1
2024110701072.txt,"excellent,congratulated,historic,landslide,tremendous,great,close,advance,cooperation,strong,unwavering,vital,just,peace,success,peaceful,cornerstone,responsibility,together,common,impressed,excellent,bright,proud,enthusiastic,better,worth","doubt,flattering,blasted,losses,abandoned,disastrous,powerful,conceded",-0.1
2024110619171.txt,"congratulated, victory, expected, confirmed, historically, clear, decisive, win, performance, records, supported, supported, supported, latest, news,","unpopular, disapproval,",+0.1
2024110703101.txt,"live, supporters, gathered, delivered, elected, president, estimated, confidence, congratulated, win, strengthening, cooperation, allies, security, director, growing, expanding, strengths, improving, competitiveness, agreed, meeting, successful, partnership, enduring, leaders, discussed, global,","no, longer, lost, hard, fought, narrow, warning, fabricated, undermine, falsely, pressure, restrict, threats, war, targeting, provision, warships, fraud,",-0.1
2024110701272.txt,"winning, victory, winning, great, right, historic, decisive, freedoms, preserving, joyful, highlight, protecting,","deported, failed, skirting, underperformed, abandoned, angry, lost, threat, losing, overturned, fell, ditch, threat, dangers, fascist, unhinged, unstable, failure,",-0.6
2024110706441.txt,consequential,"reeling, panic, miscalculation, lose, sadly, end",-0.8
2024110710586.txt,"positive,proud,well,hope,forward,committed,inspired,better,endure,strong,values,principles,best,best,historic,possible,strong,free,just,opportunities,best,best,champion,lead,congratulations","conceded,loss",+0.8
2024110622051.txt,"good,hope,good,hope,hope,peace,great","anger,war,anger,sorrow,indifference,vindication,brutal,atrocities,alienating,villify,dangers,failed,war,anger,assault,anti-genocide,unclear,anti-Muslim,anti-immigrant,flaws",-0.4
2024110707212.txt,"awesome,enhanced,improve,personalisation,precise,relevant,unique","blame,concerns,disaster,distance,failure,illegal,refusal,risk,trouble,worse",-0.5
2024110701111.txt,"congratulated,peaceful,reassure,bright,cheers,laugh,engage,peaceful,principle,democracy,OK,OK,win,win,thanking,support,benefit,hope,support,energetic,freedom,resonated","fight,tears,refusal,concede,sad,disappointed,dark,stumbling,concerns,ruin,flooding,struck",-0.1
2024110622092.txt,"extraordinary, good, embrace, historic, appreciation, support, good, enthusiasm, good, victory, freedom, liberation,","despair, grimacing, sad, disappointed, afraid, defeat, empty, sad, divided, trailed, silent,",+0.1
2024110623171.txt,"accessible,quality,expert,gracious,engage,peaceful,fundamental,memorable,affording,congratulate,notable,remarkable,normalcy,normal,enjoy","conceded,loss,defiant,complaint,whined,scoffed,hypocrisy,galling,disdain,lie,damage,attack,unthinkable,affront,disdain,stick,chaotic,racist,misogynistic,fiery",-0.3
